@vocab
la piazza | noun | f | square | piazze
la chiesa | noun | f | church | chiese
la farmacia | noun | f | pharmacy | farmacie
il panificio | noun | m | bakery | panifici
la stazione | noun | f | station | stazioni
il supermercato | noun | m | supermarket | supermercati
il parco | noun | m | park | parchi
il bar | noun | m | bar, café | 
la mappa | noun | f | map | mappe
la strada | noun | f | street, road | strade
il negozio | noun | m | shop | negozi
il centro | noun | m | centre, town centre | centri
il treno | noun | m | train | treni
in ritardo | expression | | late, delayed | 
il cartello | noun | m | sign, notice | cartelli
il cancello | noun | m | gate | cancelli
il binario | noun | m | platform, track | binari
il capo | noun | m | boss | capi
la fontana | noun | f | fountain | fontane
il municipio | noun | m | town hall | municipi
c'è | verb | | there is | 
ci sono | verb | | there are | 
dov'è | adverb | | where is | 
la passeggiata | noun | f | walk, stroll | passeggiate
il pane | noun | m | bread | pani
la medicina | noun | f | medicine | medicine
@end

# SCENE casa-carter | sabato mattina | ben, chiara, leo
NARRATOR: Ben e Leo escono. Sopra la porta **c'è** la croce verde. || Ben and Leo go out. Above the door **there's** the green cross.
BEN: **Dov'è** la **piazza**? || **Where's** the **square**?
LEO: È là! **C'è** la **chiesa**! || It's there! **There's** the **church**!
BEN: **C'è** la **chiesa**, **c'è** la **fontana**, **c'è** il **municipio**. || **There's** the **church**, **there's** the **fountain**, **there's** the town hall.
LEO: E **c'è** il **bar** sulla **mappa**! || And **there's** the **bar** on the **map**!
BEN [laughing]: **Certo**. Geniale. || **Sure**. Brilliant.

# SCENE stazione | sabato mattina | chiara
NARRATOR: La **stazione** di Borgoverde è piccola. **C'è** un solo **binario**. || The **station** of Borgoverde is small. **There's** only one **platform**.
NARRATOR: Chiara entra di corsa. Guarda il tabellone. || Chiara rushes in. She looks at the board.
CHIARA [breathless]: Il **treno**... **dov'è** il **treno**? || The **train**... **where's** the **train**?
NARRATOR: Sul tabellone **c'è** una parola rossa: **IN RITARDO**. || On the board **there's** a red word: **LATE**.
CHIARA [to herself]: **In ritardo**. Il primo giorno e il **treno** è **in ritardo**. || **Late**. The first day and the **train** is **late**.
NARRATOR: Chiara guarda l'orologio. Poi guarda il **binario** vuoto. || Chiara looks at the clock. Then she looks at the empty **platform**.
CHIARA: Otto e dieci. Otto e venti. Il **treno** non c'è. || 8:10. 8:20. The **train** isn't there.
NARRATOR: Sul **binario** c'è un'altra donna. Aspetta anche lei. || On the **platform** there's another woman. She's waiting too.
CHIARA [polite]: Scusi, signora. Il **treno** per Milano è **in ritardo**? || Excuse me, ma'am. Is the **train** to Milan **late**?
UNA DONNA [calm]: Sì. Sempre. Il sabato il **treno** è sempre **in ritardo**. || Yes. Always. On Saturdays the **train** is always **late**.
CHIARA: Sempre? || Always?
UNA DONNA: Sempre. È normale. Il **treno** delle otto e dieci arriva alle otto e mezza. || Always. It's normal. The 8:10 **train** arrives at 8:30.
CHIARA [gasping]: Alle otto e mezza? Ma io ho un **capo** nuovo. || At 8:30? But I have a new **boss**.
UNA DONNA: Ah. Il **capo** nuovo. || Ah. The new **boss**.
CHIARA: Sì. Si chiama Marchetti. Primo giorno. E io sono **in ritardo**. || Yes. His name is Marchetti. First day. And I'm **late**.
UNA DONNA: Il **capo** è **in ritardo** qualche volta? || Is the **boss** **late** sometimes?
CHIARA: No. Mai. || No. Never.
UNA DONNA [laughing]: Allora è un **capo** importante. || Then he's an important **boss**.
NARRATOR: Chiara cammina avanti e indietro sul **binario**. || Chiara walks back and forth on the **platform**.
CHIARA: Va bene. Calma. Io faccio una cosa utile. || All right. Calm. I'll do something useful.
NARRATOR: Chiara apre la borsa. Prende un foglio con il nome del **capo**. || Chiara opens her bag. She takes a sheet with the **boss**'s name.
CHIARA [reading]: Studio Marchetti. Milano, Isola. || Studio Marchetti. Milan, Isola.
NARRATOR: Chiara legge il foglio. Poi parla da sola. || Chiara reads the sheet. Then she talks to herself.
CHIARA [practising]: Buongiorno, signor Marchetti. Sono Chiara Ferri. || Good morning, Mr Marchetti. I'm Chiara Ferri.
NARRATOR: La donna sul **binario** ascolta. Sorride. || The woman on the **platform** listens. She smiles.
CHIARA: Sono la nuova socia dello studio. Piacere. || I'm the new partner at the studio. Pleased to meet you.
UNA DONNA: Bene. Ma il **treno** è **in ritardo**. || Good. But the **train** is **late**.
CHIARA [nervous, faster]: Buongiorno, signor Marchetti. Sono Chiara Ferri. Il **treno** è **in ritardo** e io sono **in ritardo** e la **stazione** è piccola... || Good morning, Mr Marchetti. I'm Chiara Ferri. The **train** is **late** and I'm **late** and the **station** is small...
UNA DONNA: No. Non dire quello. || No. Don't say that.
CHIARA: No? || No?
UNA DONNA: Il **capo** non ama le scuse. || The **boss** doesn't love excuses.
CHIARA: Ah. Il **capo** non ama le scuse. Bene. Grazie. || Ah. The **boss** doesn't love excuses. Good. Thanks.
NARRATOR: Chiara ripete la frase. Poi guarda il tabellone. || Chiara repeats the sentence. Then she looks at the board.
CHIARA: **In ritardo**. Ancora **in ritardo**. || **Late**. Still **late**.
UNA DONNA: Sempre **in ritardo** il sabato. Ma il **treno** arriva. || Always **late** on Saturdays. But the **train** arrives.
CHIARA: **C'è** un altro modo per andare a Milano? || **Is there** another way to get to Milan?
UNA DONNA: Sì. **C'è** l'autobus. Ma è lento. || Yes. **There's** the bus. But it's slow.
CHIARA: No, l'autobus no. Il **treno** è meglio. || No, not the bus. The **train** is better.
NARRATOR: Un signore con una valigia arriva sul **binario**. || A man with a suitcase arrives on the **platform**.
CHIARA [to the woman]: Anche lui aspetta. Tutti aspettiamo. || He's waiting too. We're all waiting.
UNA DONNA: Benvenuta a Borgoverde. || Welcome to Borgoverde.
CHIARA [laughing]: Grazie. Un bel benvenuto: **in ritardo**. || Thanks. A nice welcome: **late**.
NARRATOR: Il signore guarda il tabellone e sospira. || The man looks at the board and sighs.
CHIARA: Signora, scusi. **Dov'è** il **binario** per Milano? || Ma'am, excuse me. **Where's** the **platform** for Milan?
UNA DONNA: Qui. **C'è** un solo **binario** nella **stazione**. || Here. **There's** only one **platform** in the **station**.
CHIARA: Ah. Un solo **binario**. Allora è facile. || Ah. Only one **platform**. So it's easy.
UNA DONNA: Sì. Facile. Ma il **treno** è **in ritardo**. || Yes. Easy. But the **train** is **late**.
NARRATOR: Chiara ride. Guarda il telefono. Nessun messaggio. || Chiara laughs. She looks at her phone. No message.
CHIARA: Mio marito è a casa con la **mappa**. Io sono qui con il **ritardo**. || My husband is at home with the **map**. I'm here with the **delay**.
NARRATOR: Chiara guarda il tabellone rosso e ride. || Chiara looks at the red board and laughs.
CHIARA: Mio marito è a casa con la **mappa**. Io sono qui con il **treno** **in ritardo**. || My husband is at home with the **map**. I'm here with the **train** **late**.
NARRATOR: Il signore con la valigia aspetta come tutti. || The man with the suitcase waits like everyone else.

UNA DONNA: Suo marito è italiano? || Is your husband Italian?
CHIARA: No. È americano. || No. He's American.
UNA DONNA [smiling]: Ah. E lei e suo marito parlate italiano a casa? || Ah. Do you and your husband speak Italian at home?
CHIARA: Sì. Adesso sì. Lui studia. || Yes. Now yes. He studies.
UNA DONNA: Bravo. L'italiano è una strada lunga. || Good. Italian is a long road.
NARRATOR: Un rumore arriva da lontano. Il **treno**! || A noise comes from far away. The **train**!
CHIARA [gasping]: **C'è** il **treno**! || **There's** the **train**!
UNA DONNA: Sì. Ecco il **treno** delle otto e mezza. || Yes. Here's the 8:30 **train**.
NARRATOR: Il **treno** entra nella **stazione** piano piano. || The **train** comes into the **station** slowly.
CHIARA: Finalmente! || Finally!
NARRATOR: La donna prende la borsa. Chiara prende la sua. || The woman picks up her bag. Chiara picks up hers.
CHIARA: Signora, grazie. Lei è gentile. || Ma'am, thank you. You're kind.
UNA DONNA: In bocca al lupo per il **capo**! || Good luck with the **boss**!
CHIARA: Crepi! || Thanks!
NARRATOR: Le porte del **treno** si aprono. Le due donne entrano. || The **train** doors open. The two women get on.
CHIARA [practising, fast]: Buongiorno, signor Marchetti. Sono Chiara Ferri. Sono la nuova socia. || Good morning, Mr Marchetti. I'm Chiara Ferri. I'm the new partner.
NARRATOR: Il **treno** parte. Sul **binario** non c'è più nessuno. || The **train** leaves. On the **platform** there's no one anymore.
NARRATOR: Il tabellone è ancora rosso: **IN RITARDO**. || The board is still red: **LATE**.
CHIARA: Il **treno** è **in ritardo**. Ma adesso andiamo. || The **train** is **late**. But now we're going.

# SCENE studio-marchetti | sabato mattina | chiara, marchetti
NARRATOR: Lo Studio Marchetti è al terzo piano di un palazzo a Milano. || Studio Marchetti is on the third floor of a building in Milan.
NARRATOR: Chiara apre la porta piano. Dentro **c'è** un uomo in piedi. Guarda l'orologio. || Chiara opens the door quietly. Inside **there's** a man standing. He looks at his watch.
MARCHETTI [formal, cold]: Buongiorno. Lei è Chiara Ferri? || Good morning. Are you Chiara Ferri?
CHIARA [breathless]: Sì. Buongiorno. Sono Chiara Ferri. || Yes. Good morning. I'm Chiara Ferri.
MARCHETTI: Io sono Marchetti. Il suo nuovo **capo**. || I'm Marchetti. Your new **boss**.
CHIARA: Piacere, signor Marchetti. || Pleased to meet you, Mr Marchetti.
NARRATOR: Marchetti non sorride. Guarda di nuovo l'orologio. || Marchetti doesn't smile. He looks at his watch again.
MARCHETTI: Lei è **in ritardo**. || You're **late**.
CHIARA: Sì. Mi dispiace. Il **treno**... || Yes. I'm sorry. The **train**...
MARCHETTI: Il **treno**. || The **train**.
CHIARA: Sì. Il **treno** è **in ritardo**. Sempre, il sabato. || Yes. The **train** is **late**. Always, on Saturdays.
MARCHETTI: Sempre il sabato? || Always on Saturdays?
CHIARA: Sì. La **stazione** di Borgoverde è piccola. **C'è** un solo **binario**. || Yes. The **station** of Borgoverde is small. **There's** only one **platform**.
MARCHETTI [flat]: Un solo **binario**. Capisco. || Only one **platform**. I see.
NARRATOR: Marchetti cammina verso la finestra. Non dice altro sul **treno**. || Marchetti walks toward the window. He says nothing else about the **train**.
MARCHETTI: Allora. Lo studio. Tre cose. || So. The studio. Three things.
CHIARA: La ascolto. || I'm listening.
MARCHETTI: Primo: qui **c'è** la sala grande. **Ci sono** i tavoli e i computer. || First: here **there's** the big room. **There are** the tables and the computers.
NARRATOR: Marchetti indica una porta a destra. || Marchetti points to a door on the right.
MARCHETTI: Secondo: là **c'è** il mio ufficio. **Ci sono** i disegni del progetto nuovo. || Second: over there **there's** my office. **There are** the drawings of the new project.
CHIARA: Il progetto nuovo. Bene. || The new project. Good.
MARCHETTI: Terzo: lì **c'è** la cucina. **C'è** una macchina del caffè. || Third: over there **there's** the kitchen. **There's** a coffee machine.
CHIARA [trying to be warm]: Una macchina del caffè. Come nel **bar** di mio fratello. || A coffee machine. Like in my brother's **bar**.
MARCHETTI: Suo fratello ha un **bar**? || Your brother has a **bar**?
CHIARA: Sì. Il **bar** Tigli, a Borgoverde. || Yes. Bar Tigli, in Borgoverde.
MARCHETTI [dry]: Ah. **C'è** un **bar** anche sotto questo palazzo. Ma io bevo il caffè qui. || Ah. **There's** a **bar** under this building too. But I drink my coffee here.
NARRATOR: Chiara mette la borsa sulla sedia. Poi la prende di nuovo. || Chiara puts her bag on the chair. Then she picks it up again.
CHIARA: Signor Marchetti, posso spiegare? Il **binario**... || Mr Marchetti, may I explain? The **platform**...
MARCHETTI: No. Non spieghi il **binario**. || No. Don't explain the **platform**.
CHIARA [stopping]: ...Va bene. || ...All right.
MARCHETTI: Io ascolto le spiegazioni una volta. Poi basta. || I listen to explanations once. Then that's enough.
NARRATOR: Chiara mette la borsa sulla sedia. Questa volta resta lì. || Chiara puts her bag on the chair. This time it stays there.
MARCHETTI: Nel suo studio **ci sono** due colleghi. Sono là, al tavolo. || In your studio **there are** two colleagues. They're over there, at the table.
NARRATOR: Due persone al tavolo alzano la testa. Fanno un piccolo saluto. || Two people at the table raise their heads. They give a small wave.
CHIARA: Buongiorno. Piacere. || Good morning. Pleased to meet you.
MARCHETTI: E lei lavora con loro. **C'è** molto lavoro. || And you work with them. **There's** a lot of work.
CHIARA: Perfetto. A me piace il lavoro. || Perfect. I like work.
MARCHETTI [looking at his watch]: Ah, sì? || Oh, yes?
NARRATOR: Marchetti guarda l'orologio un'altra volta. || Marchetti looks at his watch another time.
MARCHETTI: Signora Ferri, la prima regola dello studio è una sola. || Ms Ferri, the first rule of the studio is only one.
CHIARA: Quale? || Which one?
MARCHETTI: "Essere in orario." || "Be on time."
NARRATOR: Marchetti mette l'orologio davanti a Chiara. || Marchetti puts his watch in front of Chiara.
MARCHETTI: Otto e cinquanta. Lei è **in ritardo** di venti minuti. || 8:50. You're **late** by twenty minutes.
CHIARA: Sì. Lo so. || Yes. I know.
MARCHETTI: Il **capo** non è **in ritardo**. Il **capo** è in orario. Sempre. || The **boss** isn't **late**. The **boss** is on time. Always.
CHIARA [quiet]: Capito. || Understood.
NARRATOR: Marchetti prende una cartella e va verso il suo ufficio. || Marchetti takes a folder and heads toward his office.
MARCHETTI: **C'è** un progetto nuovo sul tavolo. Grande. Il **treno** e il **binario** non sono il progetto. || **There's** a new project on the table. Big. The **train** and the **platform** aren't the project.
CHIARA: No. Il progetto è il progetto. || No. The project is the project.
MARCHETTI [turning back]: Bene. Allora lavoriamo. || Good. Then let's work.
NARRATOR: Marchetti entra nel suo ufficio. Chiara guarda i due colleghi. || Marchetti goes into his office. Chiara looks at the two colleagues.
CHIARA [to herself, fast]: **In ritardo** di venti minuti. Primo giorno. Perfetto. || **Late** by twenty minutes. First day. Perfect.
NARRATOR: Chiara apre la cartella. Sopra **c'è** scritto: PROGETTO ISOLA. || Chiara opens the folder. On top it says: ISOLA PROJECT.
CHIARA: Va bene. **C'è** un progetto. Cominciamo. || All right. **There's** a project. Let's start.
NARRATOR: Al tavolo **ci sono** due sedie vuote. Chiara si siede. || At the table **there are** two empty chairs. Chiara sits down.
CHIARA [to the colleagues]: Buongiorno. Sono Chiara. Il **treno** è **in ritardo**, ma io no. || Good morning. I'm Chiara. The **train** is **late**, but I'm not.
NARRATOR: I due colleghi ridono piano. Chiara apre il computer. || The two colleagues laugh quietly. Chiara opens the computer.
NARRATOR: Alle nove Marchetti esce dal suo ufficio con una tazza. || At nine Marchetti comes out of his office with a cup.
MARCHETTI: Signora Ferri. Il caffè qui è buono. **C'è** anche il **bar** sotto, se preferisce. || Ms Ferri. The coffee here is good. **There's** also the **bar** downstairs, if you prefer.
CHIARA: No. Va bene qui. Grazie. || No. Here is fine. Thank you.
MARCHETTI: Bene. || Good.
NARRATOR: Marchetti torna nel suo ufficio. Chiara guarda il computer. || Marchetti goes back to his office. Chiara looks at the computer.
CHIARA [whispering]: **C'è** un progetto. **Ci sono** due colleghi. **C'è** un **capo**. E **c'è** un **bar** sotto. Milano è Milano. || **There's** a project. **There are** two colleagues. **There's** a **boss**. And **there's** a **bar** downstairs. Milan is Milan.
NARRATOR: Chiara sorride. Poi comincia a lavorare. || Chiara smiles. Then she starts working.
MARCHETTI [from the office, loud]: Signora Ferri? || Ms Ferri?
CHIARA: Sì? || Yes?
MARCHETTI: Domani è domenica. Ma lunedì il **treno** è **in ritardo** anche lunedì? || Tomorrow is Sunday. But Monday, is the **train** **late** on Monday too?
CHIARA [deadpan]: No. Il lunedì il **treno** è **in ritardo** di dieci minuti. || No. On Mondays the **train** is **late** by ten minutes.
MARCHETTI [after a pause]: ...Bene. || ...Good.
NARRATOR: Chiara torna al computer. Il primo giorno è cominciato. || Chiara goes back to the computer. The first day has begun.

# CONFESSIONALE chiara
CHIARA [fast, to camera]: Allora. Il primo giorno a Milano. Tre cose. || So. The first day in Milan. Three things.
CHIARA: Primo: il **treno**. Il **treno** è **in ritardo**. || First: the **train**. The **train** is **late**.
CHIARA: Secondo: la **stazione** di Borgoverde. **C'è** un solo **binario**. Uno. || Second: the **station** of Borgoverde. **There's** only one **platform**. One.
CHIARA: Terzo: il **capo**. Il **capo** non è **in ritardo**. Mai. || Third: the **boss**. The **boss** is never **late**. Never.
NARRATOR: Chiara conta con le dita e guarda la telecamera. || Chiara counts on her fingers and looks at the camera.
CHIARA: Milano è bella. Lo studio è bello. Il progetto è interessante. || Milan is beautiful. The studio is beautiful. The project is interesting.
CHIARA: Ma **c'è** un problema: io sono **in ritardo** e il **capo** no. || But **there's** a problem: I'm **late** and the **boss** isn't.
CHIARA [sighing]: A Borgoverde **c'è** un **binario**, una **stazione** piccola e un **treno** lento. || In Borgoverde **there's** one **platform**, a small **station** and a slow **train**.
CHIARA: E a Milano **c'è** Marchetti con l'orologio. || And in Milan **there's** Marchetti with his watch.
CHIARA: Va bene. È il primo giorno. Non è un problema grande. || All right. It's the first day. It's not a big problem.
CHIARA [quick, to herself]: Primo: parlo con il **capo**. Secondo: arrivo prima del **treno**. Terzo: il **treno**... mah, il **treno** è un **treno**. || First: I talk to the **boss**. Second: I arrive before the **train**. Third: the **train**... well, the **train** is a **train**.
NARRATOR: Chiara prende il telefono. Poi lo rimette in borsa. || Chiara picks up her phone. Then she puts it back in her bag.
CHIARA [not convinced]: Ci penso io. || I'll handle it.

# CONFESSIONALE leo
LEO [bright, to camera]: Ciao! Io sono Leo. || Hi! I'm Leo.
LEO: Io e il papà facciamo una **mappa** di Borgoverde. || Dad and I are making a **map** of Borgoverde.
LEO: **C'è** una **piazza**. **C'è** una chiesa. **C'è** una fontana. || **There's** a **square**. **There's** a church. **There's** a fountain.
LEO: **Ci sono** gli alberi nel parco. **Ci sono** i cornetti nel bar. || **There are** trees in the park. **There are** croissants in the bar.
LEO: E **c'è** la **farmacia**. La **farmacia** è di Nadia. || And **there's** the **pharmacy**. The **pharmacy** is Nadia's.
LEO: Nella **farmacia** **c'è** la **medicina**. || In the **pharmacy** **there's** **medicine**.
LEO: **C'è** la **medicina** per i gatti? Sì! **C'è** per Pavarotti! || **Is there** **medicine** for cats? Yes! **There's** some for Pavarotti!
NARRATOR: Leo fa una faccia seria, come un dottore. || Leo makes a serious face, like a doctor.
LEO: Ma la **medicina** non è un gioco. Questo lo dico io. || But **medicine** isn't a game. That's from me.
LEO [thinking]: Papà, **dov'è** il supermercato? **Dov'è** la stazione? Mah. || Dad, **where's** the supermarket? **Where's** the station? Hmm.
LEO: **Dov'è** la **piazza**? Lo so! La **piazza** è con la chiesa! || **Where's** the **square**? I know! The **square** is with the church!
LEO: La **mappa** è mia e del papà. È una mappaverde. || The **map** is mine and Dad's. It's a map-a-green.
NARRATOR: Leo ride della parola nuova. || Leo laughs at the new word.
LEO: La **mappa** è quasi finita. Adesso **c'è** il bar. Il bar è importante! || The **map** is almost finished. Now **there's** the bar. The bar is important!
LEO [proud]: **Perfetto**! Ciao! || **Perfect**! Bye!

# SCENE via | sabato pomeriggio | ben, leo, roberto
NARRATOR: Ben e Leo tornano a casa. La **passeggiata** è lunga, ma il **pane** è ancora caldo. || Ben and Leo come home. The **walk** is long, but the **bread** is still warm.
LEO: Papà, la **mappa** è quasi finita. || Dad, the **map** is almost finished.
BEN: Quasi. **C'è** il **panificio**, **c'è** la **fontana**, **c'è** il **parco**. || Almost. **There's** the **bakery**, **there's** the **fountain**, **there's** the **park**.
LEO: Ma **dov'è** il **supermercato** sulla **mappa**? || But **where's** the **supermarket** on the **map**?
BEN: Non c'è ancora. || It's not there yet.
NARRATOR: Ben e Leo sono davanti alla casa. Sul **cancello** c'è un foglio bianco. || Ben and Leo are in front of the house. On the **gate** there's a white sheet.
LEO: Papà, guarda! **C'è** un **cartello** sul **cancello**! || Dad, look! **There's** a **sign** on the **gate**!
BEN: Un **cartello**? || A **sign**?
NARRATOR: Ben legge il foglio. Poi arriva Roberto Colombo dalla casa di fronte. || Ben reads the sheet. Then Roberto Colombo comes from the house opposite.
ROBERTO [formal, polite]: Buonasera, signor Carter. || Good evening, Mr Carter.
BEN: Buonasera, signor Colombo. || Good evening, Mr Colombo.
ROBERTO: Il **cartello** è del Comitato di quartiere. || The **sign** is from the neighbourhood committee.
BEN: Ah. E che cosa dice? || Ah. And what does it say?
ROBERTO: Il Comitato chiede una cosa semplice: il **cancello** e la strada puliti. || The committee asks one simple thing: the **gate** and the street clean.
LEO [reading aloud]: "Si chiede ai signori residenti..." || "The resident gentlemen are asked..."
ROBERTO: Bravo, il bambino legge bene. || Good, the boy reads well.
BEN [friendly]: Leo legge tutto. Anche la **mappa**. || Leo reads everything. Even the **map**.
ROBERTO [dry]: Ah. Una **mappa**. || Ah. A **map**.
NARRATOR: Roberto guarda il foglio sul **cancello**. Poi guarda Ben. || Roberto looks at the sheet on the **gate**. Then he looks at Ben.
ROBERTO: Signor Carter, il **cancello** è la porta della strada. || Mr Carter, the **gate** is the door of the street.
BEN: Capisco. Un bel **cancello**. || I understand. A nice **gate**.
ROBERTO: Sì. E il **cartello** è la voce del Comitato. || Yes. And the **sign** is the voice of the committee.
LEO: Il **cartello** è la voce? Strano. || The **sign** is a voice? Strange.
BEN [quietly]: Leo. || Leo.
ROBERTO: Va bene. buonasera. || All right. Good evening.
NARRATOR: Roberto va verso casa sua. Ben prende il quaderno. || Roberto heads toward his house. Ben takes the notebook.
BEN: Scrivo una parola nuova: **cartello**. || I'll write a new word: **sign**.
LEO: Papà, il **cartello** è bianco. E il bianco è buono per la **mappa**! || Dad, the **sign** is white. And white is good for the **map**!
BEN [sighing]: Leo, no. Il **cartello** resta sul **cancello**. || Leo, no. The **sign** stays on the **gate**.
LEO: Va bene. Ma la **mappa** ha bisogno di un foglio bianco. || All right. But the **map** needs a white sheet.
NARRATOR: Entrano in casa con il **pane** e la **mappa**. Il **cartello** resta sul **cancello**. || They go into the house with the **bread** and the **map**. The **sign** stays on the **gate**.

@grammar
# Indefinite articles + *c'è* / *ci sono*: "a" and "there is / there are"

## What it is

Two things you need to talk about a town: how to say **a** (one, some unspecified one) — *un bar*, *una chiesa* — and how to say **there is / there are** — *c'è*, *ci sono*. Together they let you say the simplest useful things in a new place: *C'è una piazza.* *Ci sono due negozi.* In this chapter Ben builds a map of Borgoverde using exactly these two tools, plus the question *Dov'è…?* ("Where is…?").

## How it works

### 1. Indefinite articles: *un, uno, una, un'*

The indefinite article means "a / an". Italian chooses it by the gender of the noun and by the sound that follows.

| Noun | Article | Example |
|---|---|---|
| masculine, before most consonants and vowels | **un** | **un** bar, **un** panificio, **un** albero |
| masculine, before *s* + consonant, *z*, *gn*, *ps*, *y* | **uno** | **uno** studente, **uno** zaino |
| feminine, before a consonant | **una** | **una** chiesa, **una** fontana, **una** mappa |
| feminine, before a vowel | **un'** | **un'** amica, **un'** ora |

Note the trap: *una* + vowel becomes *un'* with an apostrophe — *una farmacia* but *un'aula*. And masculine nouns before a vowel stay *un*, with no apostrophe: *un amico*, *un ufficio*.

The indefinite article usually has no plural. "Some" is normally just the noun, or the partitive *dei / delle* (taught later).

### 2. *c'è* / *ci sono*: "there is / there are"

| | Use it for | Example |
|---|---|---|
| **c'è** | one thing (singular) | **C'è** una chiesa. |
| **ci sono** | more than one thing (plural) | **Ci sono** due negozi. |

*C'è* is *ci* + *è* (the verb *essere*), joined by an apostrophe. *Ci sono* is two words. The verb agrees with what follows it:

- **C'è** un bar. → There's a bar.
- **Ci sono** i tavoli. → There are the tables.

Use it to say what exists, what is there, and what is not there:

- **C'è** una farmacia in piazza?
- No, non **c'è** una farmacia in piazza. La farmacia è qui.
- **Ci sono** gli alberi nel parco.
- Non **ci sono** i cornetti in farmacia.

### 3. *Dov'è…?* — "Where is…?"

**Dov'è** = *dove* + *è*, with an apostrophe. Use it for one thing; for more than one, Italians usually still say *Dov'è…?* with a plural noun, or *Dove sono…?*

- **Dov'è** la stazione?
- **Dov'è** il supermercato?
- **Dov'è** la medicina?

## From the story

[[C'è una chiesa con un campanile.]]
→ *C'è* + a singular noun: one church exists on the square.

[[Nel parco ci sono gli alberi.]]
→ *Ci sono* + a plural noun: trees, more than one.

[[Signora, scusi. Dov'è il binario per Milano?]]
→ *Dov'è* to ask the location of one thing.

[[Guarda. Questo è un cartello del Comitato.]]
→ *un* before a masculine noun starting with a consonant.

[[No. La farmacia è qui. In Via Verdi.]]
→ A definite article (*la*) because the pharmacy is now a known, specific one.

[[Una fontana piccola. Molto... bella.]]
→ *una* before a feminine noun starting with a consonant.

[[Voglio una mappa di Borgoverde?]]
→ Not from this chapter's text — instead, see:

[[È la mia mappa di Borgoverde.]]
→ Here the *definite* article *la* is right: the map is a particular, known map.

[[La mappa è sbagliata senza il bar.]]
→ *La* and *il*, again because these are the specific map and the known bar.

[[Masculine before a vowel stays *un*]]
→ (This one is a note, not a story line — see the examples above.)

## Common mistakes English speakers make

1. **Using *è* for "there is".** English "there is" is not *è*. It is **c'è**. *È una chiesa* means "It is a church" (describing something), not "There is a church."
2. **Forgetting the apostrophe.** It is *c'è* and *dov'è*, never *ce è* or *dove è* written separately.
3. **Using *ci sono* with one thing.** *Ci sono una chiesa* is wrong. One thing → **c'è**.
4. **Using *una* before a vowel.** Feminine nouns take *un'*: *un'amica*, *un'ora*. Masculine nouns take *un* with no apostrophe: *un albero*.
5. **Choosing the article by the English word.** Italian uses the gender of the *Italian* noun: *la farmacia* → *una farmacia*; *il panificio* → *un panificio*. Learn each noun with its article.
6. **Mixing *c'è* with a plural noun because English "there's" is singular.** English says "there's two shops" informally; Italian never does. Two shops → **ci sono**.

## Practice

Fill in the blank with *un*, *uno*, *una*, *un'*, *c'è*, *ci sono*, or *dov'è*.

1. ____ una piazza a Borgoverde?
2. In piazza ____ una chiesa e una fontana.
3. ____ il supermercato? — È in Via Roma.
4. ____ farmacia è in Via Verdi.
5. Nel parco ____ gli alberi.
6. Voglio comprare ____ pane al panificio.
7. ____ un bar in Via dei Tigli? — Sì, il bar Tigli.
8. ____ amica di mia figlia abita qui.

### Answer key

1. **C'è** — one square, singular.
2. **ci sono** — two things (church + fountain).
3. **Dov'è** — asking the location of one thing.
4. **Una** — feminine noun before a consonant (notice: *una farmacia*, not *un farmacia*).
5. **ci sono** — plural (*gli alberi*).
6. **un** — masculine noun before a consonant (*pane*).
7. **C'è** — one bar, singular.
8. **Un'** — feminine noun before a vowel (*amica*), with the apostrophe.
